tipo,nombreOriginal,clasificacion,numCandidatos,md5sDistintos,rowIds,ruc,monto,numeroSerie,numero,fechaEmision,candidatoSizes,candidatoCreatedTimes
pedido,ordenser2.pdf,IDENTICAL_CONTENT,2,1,1569|1570,,,,,,119687|119687,2024-07-02T12:54:49.243Z|2024-07-02T12:53:23.853Z
xml,FACTURAE001-19210103251619.XML,IDENTICAL_CONTENT,2,1,1716,,,,,,14122|14122,2024-07-08T15:38:42.401Z|2024-07-08T15:37:28.706Z
guia,10103251619-09-EG07-72.pdf,IDENTICAL_CONTENT,2,1,1716,,,,,,36403|36403,2024-07-08T15:38:44.425Z|2024-07-08T15:37:30.701Z
pedido,202403348-1.pdf,IDENTICAL_CONTENT,2,1,1716,,,,,,187814|187814,2024-07-08T15:38:46.714Z|2024-07-08T15:37:32.926Z
factura,20101363008-01-F572-00008127.pdf,IDENTICAL_CONTENT,2,1,1730,,,,,,97318|97318,2024-07-08T19:54:22.496Z|2024-07-08T19:50:29.993Z
xml,20101363008-01-F572-00008127.xml,IDENTICAL_CONTENT,2,1,1730,,,,,,32041|32041,2024-07-08T19:54:24.473Z|2024-07-08T19:50:31.842Z
guia,20101363008-2024-06-21 03_53_52.734-8.pdf,IDENTICAL_CONTENT,2,1,1730,,,,,,376031|376031,2024-07-08T19:54:26.588Z|2024-07-08T19:50:34.028Z
pedido,2024-06245.pdf,IDENTICAL_CONTENT,2,1,1730,,,,,,150388|150388,2024-07-08T19:54:28.510Z|2024-07-08T19:50:36.003Z
xml,20102306598-F005-00392615.xml,IDENTICAL_CONTENT,2,1,2108|2110,,,,,,17828|17828,2024-07-15T21:43:19.492Z|2024-07-15T21:39:31.579Z
pedido,202406060.pdf,IDENTICAL_CONTENT,2,1,2235,,,,,,367095|367095,2024-07-22T16:09:00.592Z|2024-07-22T16:08:46.584Z
factura,20101363008-01-F572-00008572.pdf,IDENTICAL_CONTENT,2,1,2368|2370,,,,,,95217|95217,2024-07-31T20:57:56.533Z|2024-07-31T20:56:56.285Z
xml,20101363008-01-F572-00008572.xml,IDENTICAL_CONTENT,2,1,2368|2370,,,,,,21483|21483,2024-07-31T20:57:58.389Z|2024-07-31T20:56:58.219Z
guia,COTI 2421319 CV-03.pdf,IDENTICAL_CONTENT,2,1,2368|2370,,,,,,377270|377270,2024-07-31T20:58:00.726Z|2024-07-31T20:57:00.323Z
pedido,2024-07217.pdf,IDENTICAL_CONTENT,2,1,2368|2370,,,,,,292663|292663,2024-07-31T20:58:02.731Z|2024-07-31T20:57:02.478Z
